Title,Star_Rating,Address,Phone,Website,Email,Regular_Hours,Payment_Method,Price_Range,Neighborhoods,Other_Links,Categories
Ciro's Restaurant,5,"705 N Evergreen Ave
Los Angeles, CA 90033",(323) 269-5104,,,"Regular Hours
Tue - Thu:	
7:00 am - 8:00 pm

Fri - Sun:	
7:00 am - 9:00 pm",Cash Only,$$,"East LA, Boyle Heights",,"Family Style Restaurants, Restaurants, Take Out Restaurants"
Fabrocini's-Beverly Glen,4.5,"2960 N Beverly Glen Cir
Los Angeles, CA 90077",(310) 475-7404,http://www.fabrocinibeverlyglen.com/,,"Regular Hours
Mon - Sun:	
12:00 pm - 9:30 pm",All Major Credit Cards,$$,"Bel Air-Beverly Crest, Bel Air, West Los Angeles",http://www.fabrocinibeverlyglen.com,"Pizza, Caterers, Italian Restaurants, Restaurants"
California Pizza Kitchen,4,"1001 Broxton Ave
Los Angeles, CA 90024",(310) 209-9197,http://www.cpk.com/,jclark@cpk.org,"Regular Hours
Mon - Sun:	
11:00 am - 9:00 pm","Master Card, Visa, Amex, Discover, All Major Credit Cards, Diners Club",$$,"Westwood Village, Westwood, West Los Angeles","http://www.cpk.com

https://cpk.olo.com/menu/california-pizza-kitchen-westwood

http://www.cpk.com/locations/westwood-village","Pizza, American Restaurants, Italian Restaurants, Restaurants, Take Out Restaurants"
Industriel,5,"609 S Grand Ave
Los Angeles, CA 90017",(213) 488-8020,http://www.industrielfarm.com/,info@industrielfarm.com,"Regular Hours
Mon - Thu:	
10:30 am - 10:00 pm

Fri - Sat:	
10:00 am - 11:00 pm

Sun:	
10:30 am - 10:00 pm","Visa, All Major Credit Cards, Amex, Discover, Mastercard",$$,"Downtown Los Angeles, Financial District, Central LA",http://www.industrielfarm.com,"American Restaurants, French Restaurants, Restaurants"
Carlitos Gardel Restaurant,4.5,"7963 Melrose Ave
Los Angeles, CA 90046",(323) 655-0891,http://www.carlitosgardel.com/,info@carlitosgardel.com,"Regular Hours
Mon - Thu:	
6:00 pm - 11:00 pm

Fri:	
11:30 am - 11:00 pm

Sat:	
6:00 pm - 11:00 pm

Sun:	
5:00 pm - 10:00 pm","Mastercard, Visa, Amex",$$$,"Central LA, Mid-City West",http://www.carlitosgardel.com,"Family Style Restaurants, Fine Dining Restaurants, Italian Restaurants, Latin American Restaurants, Mexican Restaurants, Restaurants, Steak Houses"
Angelini Osteria,4.5,"7313 Beverly Blvd
Los Angeles, CA 90036",(323) 297-0070,https://www.eventective.com/los-angeles-ca,info@angeliniosteria.com,"Regular Hours
Mon - Sun:	
Open 24 Hours","Diners Club, Amex, Discover, Visa, Mastercard",$$$,"Central LA, Mid-City West","https://www.eventective.com/los-angeles-ca

https://www.facebook.com/angelinialimentari","Italian Restaurants, Caterers, Mediterranean Restaurants, Restaurants"
Vincenti Ristorante,4.5,"11930 San Vicente Blvd
Los Angeles, CA 90049",(310) 207-0127,http://www.vincentiristorante.com/,info@vincentiristorante.com,"Regular Hours
Mon - Sat:	
5:30 pm - 10:00 pm

Sun	Closed","Amex, Master Card, Visa, All Major Credit Cards",$$$,"Brentwood, West Los Angeles","http://www.vincentiristorante.com

https://www.vincentiristorante.com","Family Style Restaurants, Bar & Grills, Caterers, Fine Dining Restaurants, Italian Restaurants, Restaurants"
Divino,4.5,"11714 Barrington Ct
Los Angeles, CA 90049",(310) 472-0886,http://www.divinobrentwood.com/,goranhn@aol.com,"Regular Hours
Mon - Sun:	
11:30 am - 10:00 pm","Discover, All Major Credit Cards",$$$,"Brentwood, West Los Angeles",http://www.divinobrentwood.com,"Italian Restaurants, Breakfast, Brunch & Lunch Restaurants, Caterers, Mediterranean Restaurants, Pizza, Restaurants"
Sor Tino,4,"908 S Barrington Ave
Los Angeles, CA 90049",(310) 442-8466,http://www.sortinorestaurant.com/,info@sortinorestaurant.com,"Regular Hours
Mon - Sun:	
11:30 am - 10:00 pm","Discover, All Major Credit Cards",$$$,"Brentwood, West Los Angeles","http://www.sortinorestaurant.com

http://www.sortinorestaurant.com/index.html","Italian Restaurants, Caterers, Family Style Restaurants, Mediterranean Restaurants, Restaurants"
Gusto,3,"8432 W 3rd St
Los Angeles, CA 90048",(323) 782-1778,http://www.gusto-la.com/,info@gusto-la.com,"Regular Hours
Mon - Thu:	
6:00 pm - 10:00 pm

Fri - Sat:	
6:00 pm - 11:00 pm

Sun:	
6:00 pm - 10:00 pm","All Major Credit Cards, Master Card, Visa",$$$,"Mid-City West, Central LA",http://www.gusto-la.com,"Italian Restaurants, Restaurants"
Upstairs 2,3.5,"2311 Cotner Ave
Los Angeles, CA 90064",(310) 231-0316,http://www.upstairs2.com/,info@upstairs2.com,"Regular Hours
Wed - Sat:	
5:30 pm - 10:00 pm","All Major Credit Cards, Amex, Master Card, Visa",$$$,"West Los Angeles, Westside",http://www.upstairs2.com,"American Restaurants, Banquet Halls & Reception Facilities, Bar & Grills, Bars, Caterers, French Restaurants, Mediterranean Restaurants, Restaurants, Tapas, Taverns, Wedding Reception Locations & Services, Wine Bars"
Il Moro,4.5,"11400 W Olympic Blvd Ste 160
Los Angeles, CA 90064",(310) 575-3530,http://www.ilmoro.com/,ilmororestaurant@verizon.net,"Regular Hours
Mon - Thu:	
11:15 am - 9:00 pm

Fri:	
11:15 am - 10:00 pm

Sat:	
5:00 pm - 10:00 pm","Master Card, Amex, Visa, All Major Credit Cards, Diners Club, Discover",$$$,West Los Angeles,"http://www.ilmoro.com

https://ilmoro.com","Italian Restaurants, Mediterranean Restaurants, Restaurants"
The Tower Bar,3.5,"8358 W Sunset Blvd
Los Angeles, CA 90069",(323) 848-6677,http://www.sunsettowerhotel.com/,info@sunsettowerhotel.com,"Regular Hours
Mon - Thu:	
6:30 am - 11:00 pm

Fri - Sat:	
6:30 am - 11:30 pm

Sun:	
6:30 am - 11:00 pm","Visa, Mastercard, All Major Credit Cards, Amex, Discover",$$$,"Central LA, West Hollywood","http://www.sunsettowerhotel.com

http://www.sunsettowerhotel.com/restaurants-and-bar/tower-bar","Restaurants, American Restaurants, Breakfast, Brunch & Lunch Restaurants"
WP24,5,"The Ritz-Carlton   24th Floor  900 W. Olympic Blvd.Los Angeles, CA 90015",(213) 743-8824,http://www.wolfgangpuck.com/restaurants/fine-dining/57129,info@wolfgangpuck.com,"Regular Hours
Tue - Sat:	
5:30 pm - 9:30 pm",All Major Credit Cards,$$$,"South Park, Downtown Los Angeles, Central LA",http://www.wolfgangpuck.com/restaurants/fine-dining/57129,"American Restaurants, Asian Restaurants, Chinese Restaurants, Cocktail Lounges, Fine Dining Restaurants, Restaurants, Sushi Bars"
Picca,3.5,"9575 W Pico Blvd
Los Angeles, CA 90035",(310) 277-0133,http://piccaperu.com/,info@piccaperu.com,"Regular Hours
Mon - Tue:	
6:00 pm - 10:00 pm

Wed - Sat:	
6:00 pm - 11:00 pm

Sun:	
6:00 pm - 10:00 pm","Amex, Visa, Mastercard",$$$,"West Los Angeles, South Robertson",http://piccaperu.com,"Restaurants, Caterers, Japanese Restaurants, Latin American Restaurants, Peruvian Restaurants"
